"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"155","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Calculated.java","3","28","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"156","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Calculated.java","3","28","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"157","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Calculated.java","3","29","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"158","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Calculated.java","3","29","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"159","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Calculated.java","3","30","Avoid excessively long variable names like datasetDefinitions","Naming Rules","LongVariable"
"160","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Calculated.java","3","30","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"161","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Calculated.java","3","30","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"162","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Calculated.java","3","48","Avoid really long parameter lists.","Code Size Rules","ExcessiveParameterList"
"163","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Calculated.java","3","48","Parameter 'mFormat' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"164","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Calculated.java","3","48","Parameter 'mName' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"165","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Calculated.java","3","48","Parameter 'mQuestionText' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"166","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Calculated.java","3","49","Parameter 'mDefaultGrade' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"167","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Calculated.java","3","49","Parameter 'mImage' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"168","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Calculated.java","3","52","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"169","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Calculated.java","3","52","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"170","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Calculated.java","3","52","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"171","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Calculated.java","3","52","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"172","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Calculated.java","3","53","Avoid excessively long variable names like mDatasetDefinitions","Naming Rules","LongVariable"
"173","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Calculated.java","1","105","Method names should not contain underscores","Naming Rules","MethodNamingConventions"
"174","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Category.java","3","1","Package name contains upper case characters","Naming Rules","PackageCase"
"175","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Category.java","3","13","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"176","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Category.java","3","13","It is somewhat confusing to have a field name matching the declaring class name","Naming Rules","AvoidFieldNameMatchingTypeName"
"177","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Category.java","3","13","Private field 'category' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"178","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Category.java","3","14","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"179","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Category.java","3","14","Private field 'type' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"180","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Category.java","3","22","Parameter 'Ctext' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"181","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Cloze.java","3","1","Package name contains upper case characters","Naming Rules","PackageCase"
"182","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Cloze.java","3","13","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"183","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Cloze.java","3","13","Private field 'questiontext' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"184","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Cloze.java","3","14","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"185","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Cloze.java","3","14","Private field 'shuffleanswers' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"186","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Cloze.java","3","15","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"187","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Cloze.java","3","15","Private field 'type' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"188","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Cloze.java","3","16","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"189","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Cloze.java","3","16","Private field 'generalfeedback' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"190","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Cloze.java","3","25","Parameter 'mName' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"191","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Cloze.java","3","25","Parameter 'mQuestionText' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"192","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Cloze.java","3","25","Parameter 'mShuffleanswers' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"193","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Cloze.java","3","26","Parameter 'mGeneralfeedback' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"194","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Description.java","3","1","Package name contains upper case characters","Naming Rules","PackageCase"
"195","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Description.java","3","17","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"196","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Description.java","3","17","Private field 'questionText' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"197","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Description.java","3","18","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"198","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Description.java","3","18","Private field 'format' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"199","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Description.java","3","19","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"200","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Description.java","3","19","Private field 'defaultGrade' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"201","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Description.java","3","20","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"202","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Description.java","3","20","Private field 'penalty' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"203","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Description.java","3","21","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"204","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Description.java","3","21","Private field 'hidden' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"205","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Description.java","1","25","Variables that are not final should not contain underscores (except for underscores in standard prefix/suffix).","Naming Rules","VariableNamingConventions"
"206","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Description.java","3","29","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"207","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Description.java","3","29","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"208","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Description.java","3","30","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"209","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Description.java","3","30","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"210","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Description.java","3","46","Avoid really long parameter lists.","Code Size Rules","ExcessiveParameterList"
"211","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Description.java","3","46","Parameter 'mName' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"212","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Description.java","3","46","Parameter 'mQuestionText' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"213","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Description.java","3","47","Parameter 'mDefaultgrade' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"214","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Description.java","3","47","Parameter 'mGeneralfeedback' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"215","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Description.java","3","47","Parameter 'mPenalty' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"216","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Description.java","1","113","Method names should not contain underscores","Naming Rules","MethodNamingConventions"
"217","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Description.java","3","117","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"218","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Description.java","3","117","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"219","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Description.java","3","121","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"220","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Description.java","3","121","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"221","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Essay.java","3","1","Package name contains upper case characters","Naming Rules","PackageCase"
"222","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Essay.java","3","17","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"223","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Essay.java","3","17","Private field 'questionText' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"224","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Essay.java","3","18","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"225","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Essay.java","3","18","Private field 'format' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"226","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Essay.java","3","19","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"227","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Essay.java","3","19","Private field 'defaultGrade' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"228","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Essay.java","3","20","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"229","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Essay.java","3","20","Private field 'penalty' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"230","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Essay.java","3","21","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"231","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Essay.java","3","21","Private field 'hidden' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"232","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Essay.java","1","27","Variables that are not final should not contain underscores (except for underscores in standard prefix/suffix).","Naming Rules","VariableNamingConventions"
"233","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Essay.java","3","43","Avoid really long parameter lists.","Code Size Rules","ExcessiveParameterList"
"234","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Essay.java","3","43","Parameter 'mDefaultgrade' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"235","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Essay.java","3","43","Parameter 'mName' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"236","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Essay.java","3","43","Parameter 'mQuestionText' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"237","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Essay.java","3","44","Parameter 'mHidden' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"238","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Essay.java","3","44","Parameter 'mPenalty' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"239","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Essay.java","1","114","Method names should not contain underscores","Naming Rules","MethodNamingConventions"
"240","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Matching.java","3","1","Package name contains upper case characters","Naming Rules","PackageCase"
"241","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Matching.java","3","17","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"242","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Matching.java","3","17","Private field 'questionText' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"243","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Matching.java","3","18","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"244","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Matching.java","3","18","Private field 'format' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"245","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Matching.java","3","19","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"246","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Matching.java","3","19","Private field 'defaultGrade' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"247","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Matching.java","3","20","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"248","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Matching.java","3","20","Private field 'penalty' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"249","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Matching.java","3","21","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"250","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Matching.java","3","21","Private field 'hidden' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"251","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Matching.java","1","26","Variables that are not final should not contain underscores (except for underscores in standard prefix/suffix).","Naming Rules","VariableNamingConventions"
"252","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Matching.java","3","43","Avoid really long parameter lists.","Code Size Rules","ExcessiveParameterList"
"253","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Matching.java","3","43","Parameter 'mDefaultgrade' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"254","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Matching.java","3","43","Parameter 'mName' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"255","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Matching.java","3","43","Parameter 'mQuestionText' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"256","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Matching.java","3","44","Parameter 'mHidden' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"257","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Matching.java","3","44","Parameter 'mPenalty' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"258","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Matching.java","1","110","Method names should not contain underscores","Naming Rules","MethodNamingConventions"
"259","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/MultipleChoice.java","3","1","Package name contains upper case characters","Naming Rules","PackageCase"
"260","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/MultipleChoice.java","3","15","Too many fields","Code Size Rules","TooManyFields"
"261","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/MultipleChoice.java","3","17","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"262","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/MultipleChoice.java","3","17","Private field 'questionText' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"263","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/MultipleChoice.java","3","18","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"264","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/MultipleChoice.java","3","18","Private field 'format' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"265","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/MultipleChoice.java","3","19","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"266","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/MultipleChoice.java","3","19","Private field 'defaultGrade' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"267","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/MultipleChoice.java","3","20","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"268","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/MultipleChoice.java","3","20","Private field 'penalty' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"269","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/MultipleChoice.java","3","21","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"270","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/MultipleChoice.java","3","21","Private field 'hidden' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"271","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/MultipleChoice.java","1","27","Variables that are not final should not contain underscores (except for underscores in standard prefix/suffix).","Naming Rules","VariableNamingConventions"
"272","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/MultipleChoice.java","3","30","Avoid excessively long variable names like partiallyCorrectFeedback","Naming Rules","LongVariable"
"273","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/MultipleChoice.java","3","53","Avoid really long parameter lists.","Code Size Rules","ExcessiveParameterList"
"274","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/MultipleChoice.java","3","53","Parameter 'mName' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"275","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/MultipleChoice.java","3","53","Parameter 'mQuestionText' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"276","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/MultipleChoice.java","3","54","Parameter 'mDefaultgrade' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"277","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/MultipleChoice.java","3","54","Parameter 'mPenalty' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"278","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/MultipleChoice.java","3","54","Parameter 'mShuffleanswers' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"279","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/MultipleChoice.java","3","57","Avoid excessively long variable names like mPartiallyCorrectFeedback","Naming Rules","LongVariable"
"280","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/MultipleChoice.java","3","58","Avoid excessively long variable names like mIncorrectFeedback","Naming Rules","LongVariable"
"281","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/MultipleChoice.java","1","132","Method names should not contain underscores","Naming Rules","MethodNamingConventions"
"282","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Numerical.java","3","1","Package name contains upper case characters","Naming Rules","PackageCase"
"283","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Numerical.java","3","17","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"284","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Numerical.java","3","17","Private field 'generalfeedback' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"285","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Numerical.java","3","18","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"286","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Numerical.java","3","18","Private field 'questionText' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"287","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Numerical.java","3","19","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"288","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Numerical.java","3","19","Private field 'format' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"289","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Numerical.java","3","20","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
